<NUMBER OF ZONES>			110									
<NUMBER OF NODES>			1020									
<FIRST THRU NODE>			111									
<NUMBER OF LINKS>			2522									
<ORIGINAL HEADER>~ 	Init node 	Term node 	Capacity 	Length 	Free Flow Time 	B	Power	Speed limit 	Toll 	Type		;
<END OF METADATA>												
												
												
~	init_node	term_node	capacity	length	free_flow_time	b	power	speed	toll	link_type	cost	;
	1	290	1	1.083333333	1.083333333	0.00E+00	0	0	0	9	0	;
	1	307	1	1.083333333	1.083333333	0.00E+00	0	0	0	9	0	;
	1	316	1	1.083333333	1.083333333	0.00E+00	0	0	0	9	0	;
	2	302	1	1.666666667	1.666666667	0.00E+00	0	0	0	9	0	;
	2	304	1	1.666666667	1.666666667	0.00E+00	0	0	0	9	0	;
	3	301	1	1.083333333	1.083333333	0.00E+00	0	0	0	9	0	;
	3	306	1	1.083333333	1.083333333	0.00E+00	0	0	0	9	0	;
	4	301	1	1.083333333	1.083333333	0.00E+00	0	0	0	9	0	;
	4	306	1	1.083333333	1.083333333	0.00E+00	0	0	0	9	0	;
	5	298	1	0.5	0.5	0.00E+00	0	0	0	9	0	;
	5	299	1	0.5	0.5	0.00E+00	0	0	0	9	0	;
	5	310	1	1.083333333	1.083333333	0.00E+00	0	0	0	9	0	;
	6	424	1	0.833333333	0.833333333	0.00E+00	0	0	0	9	0	;
	6	425	1	0.833333333	0.833333333	0.00E+00	0	0	0	9	0	;
	6	456	1	0.833333333	0.833333333	0.00E+00	0	0	0	9	0	;
	7	274	1	0.666666667	0.666666667	0.00E+00	0	0	0	9	0	;
	7	281	1	0.666666667	0.666666667	0.00E+00	0	0	0	9	0	;
	7	283	1	0.666666667	0.666666667	0.00E+00	0	0	0	9	0	;
	8	272	1	0.666666667	0.666666667	0.00E+00	0	0	0	9	0	;
	8	456	1	0.666666667	0.666666667	0.00E+00	0	0	0	9	0	;
	8	474	1	0.666666667	0.666666667	0.00E+00	0	0	0	9	0	;
	8	480	1	0.666666667	0.666666667	0.00E+00	0	0	0	9	0	;
