<NUMBER OF ZONES> 36												
<NUMBER OF NODES> 398												
<FIRST THRU NODE> 37												
<NUMBER OF LINKS> 871												
<ORIGINAL HEADER>~ 	Init node 	Term node 	Capacity 	Length 	Free Flow Time 	B 	Power 	Speed limit 	Toll 			
<END OF METADATA> 												
												
												
~	init_node	term_node	capacity	length	free_flow_time	b	power	speed	toll	type	cost	;
 	1	303	999999	0	0	0	4	0	0	0	0	; 
 	1	304	999999	0	0	0	4	0	0	0	0	; 
 	1	306	999999	0	0	0	4	0	0	0	0	; 
 	1	307	999999	0	0	0	4	0	0	0	0	; 
 	2	253	999999	0	0	0	4	0	0	0	0	; 
 	2	255	999999	0	0	0	4	0	0	0	0	; 
 	2	256	999999	0	0	0	4	0	0	0	0	; 
 	2	272	999999	0	0	0	4	0	0	0	0	; 
 	3	258	999999	0	0	0	4	0	0	0	0	; 
 	3	259	999999	0	0	0	4	0	0	0	0	; 
 	3	260	999999	0	0	0	4	0	0	0	0	; 
 	3	261	999999	0	0	0	4	0	0	0	0	; 
 	4	226	999999	0	0	0	4	0	0	0	0	; 
 	4	231	999999	0	0	0	4	0	0	0	0	; 
 	4	232	999999	0	0	0	4	0	0	0	0	; 
 	4	263	999999	0	0	0	4	0	0	0	0	; 
 	5	254	999999	0	0	0	4	0	0	0	0	; 
 	5	255	999999	0	0	0	4	0	0	0	0	; 
 	5	352	999999	0	0	0	4	0	0	0	0	; 
 	5	353	999999	0	0	0	4	0	0	0	0	; 
 	6	196	999999	0	0	0	4	0	0	0	0	; 
 	6	223	999999	0	0	0	4	0	0	0	0	; 
 	6	264	999999	0	0	0	4	0	0	0	0	; 
 	6	295	999999	0	0	0	4	0	0	0	0	; 
 	7	50	999999	0	0	0	4	0	0	0	0	; 
 	7	51	999999	0	0	0	4	0	0	0	0	; 
 	7	55	999999	0	0	0	4	0	0	0	0	; 
 	7	59	999999	0	0	0	4	0	0	0	0	; 
 	8	359	999999	0	0	0	4	0	0	0	0	; 
 	8	360	999999	0	0	0	4	0	0	0	0	; 
