<NUMBER OF ZONES> 74													
<NUMBER OF NODES> 74													
<FIRST THRU NODE> 1													
<NUMBER OF LINKS> 248													
<NUMBER OF NEW LINKS> 10													
<END OF METADATA>													
													
													
~	Init node	Term node	Capacity	Length	Free Flow Time	B	Power	Speed limit	Toll	Type	Cost	;	
1	3	4938.061313	16.106817	0.238965	0.15	4	0	0	0	0.015214441			
3	1	5254.12851	16.057131	0.240297	0.15	4	0	0	0	0.006135081			
7	1	7388.626964	15.865263	0.218902	0.15	4	0	0	0	0.018326011			
1	9	1164.37484	17.455401	0.402046	0.15	4	0	0	0	0.010257731			
9	1	1076.221509	17.450099	0.403219	0.15	4	0	0	0	0.01907569			
2	3	885.069883	3.874725	0.106992	0.15	4	0	0	0	0.00807265			
3	2	879.33766	3.975121	0.108032	0.15	4	0	0	0	0.01942888			
3	6	5963.515309	7.587822	0.109499	0.15	4	0	0	0	0.008111136			
6	3	6000	7.44745	0.107665	0.15	4	0	0	0	0.008902289			
3	7	870.143949	11.592971	0.349058	0.15	4	0	0	0	0.007599893			
7	3	987.279904	11.736039	0.346955	0.15	4	0	0	0	0.016248589			
4	6	1397.463467	3.509127	0.153312	0.15	4	0	0	0	0.0009996			
6	4	1032.23265	3.509127	0.151643	0.15	4	0	0	0	0.005888663			
4	8	6680.104456	6.269461	0.089394	0.15	4	0	0	0	0.013173798			
8	4	6223.710971	6.412615	0.090973	0.15	4	0	0	0	0.005190065			
5	10	3970.233407	10.449604	0.15102	0.15	4	0	0	0	0.011499552			
10	5	3954.624913	10.554494	0.148699	0.15	4	0	0	0	0.013298091			
5	11	934.463935	11.677805	0.38247	0.15	4	0	0	0	0.008037372			
11	5	882.819848	11.588228	0.374745	0.15	4	0	0	0	0.013547877			
6	8	6000	2.959879	0.043012	0.15	4	0	0	0	0.014988757			
8	6	6000	2.647408	0.038664	0.15	4	0	0	0	0.015719932			
6	13	2232.228547	11.650116	0.283196	0.15	4	0	0	0	0.003392392			
13	6	1834.137753	11.522613	0.279406	0.15	4	0	0	0	0.000323204			
6	17	1370.884143	12.288557	0.364887	0.15	4	0	0	0	0.014973432			
17	6	1245.94996	12.326099	0.361371	0.15	4	0	0	0	0.013344457			
7	9	827.932876	4.074788	0.105565	0.15	4	0	0	0	0.01150708			
9	7	825	4.074788	0.104603	0.15	4	0	0	0	0.007548393			
7	13	5919.941039	6.485868	0.088559	0.15	4	0	0	0	0.010664088			
13	7	8000	6.868068	0.092749	0.15	4	0	0	0	0.00867865			
