<NUMBER OF ZONES> 2												
<NUMBER OF NODES> 6												
<FIRST THRU NODE> 1												
<NUMBER OF LINKS> 16												
<END OF METADATA>												
												
												
~ 	Init node 	Term node 	Capacity 	Length 	Free Flow Time 	B	Power	Speed limit 	Toll 	Type	cost	
	1	6	15	1	1	10	4	0	0	1	0.1	;
	1	3	20	1	2	2.5	4	0	0	1	0.15	;
	6	1	27	1	3	1	4	0	0	1	0.25	;
	6	3	16	1	4	5	4	0	0	1	0.2	;
	6	4	24	1	5	10	4	0	0	1	0.45	;
	3	1	18	1	2	10	4	0	0	1	0.05	;
	3	6	20	1	1	10	4	0	0	1	0.2	;
	3	5	20	1	1	1	4	0	0	1	0.15	;
	4	6	45	1	2	4	4	0	0	1	0.1	;
	4	5	30	1	3	1	4	0	0	1	0.25	;
	4	2	20	1	9	0.222222222	4	0	0	1	0.3	;
	5	3	24	1	4	2.5	4	0	0	1	0.4	;
	5	4	44	1	4	6.25	4	0	0	1	0.25	;
	5	2	20	1	2	16.5	4	0	0	1	0.15	;
	2	4	20	1	5	1	4	0	0	1	0.3	;
	2	5	18	1	6	0.166666667	4	0	0	1	0.05	;
