<NUMBER OF ZONES> 2												
<NUMBER OF NODES> 6												
<FIRST THRU NODE> 1												
<NUMBER OF LINKS> 16												
<END OF METADATA>												
												
												
~ 	Init node 	Term node 	Capacity 	Length 	Free Flow Time 	B	Power	Speed limit 	Toll 	Type	cost	
	1	6	3	1	1	10	4	0	0	1	0.1	;
	1	3	10	1	2	2.5	4	0	0	1	0.15	;
	6	1	9	1	3	1	4	0	0	1	0.25	;
	6	3	4	1	4	5	4	0	0	1	0.2	;
	6	4	3	1	5	10	4	0	0	1	0.45	;
	3	1	2	1	2	10	4	0	0	1	0.05	;
	3	6	1	1	1	10	4	0	0	1	0.2	;
	3	5	10	1	1	1	4	0	0	1	0.15	;
	4	6	45	1	2	4	4	0	0	1	0.1	;
	4	5	3	1	3	1	4	0	0	1	0.25	;
	4	2	2	1	9	0.222222222	4	0	0	1	0.3	;
	5	3	6	1	4	2.5	4	0	0	1	0.4	;
	5	4	44	1	4	6.25	4	0	0	1	0.25	;
	5	2	20	1	2	16.5	4	0	0	1	0.15	;
	2	4	1	1	5	1	4	0	0	1	0.3	;
	2	5	4.5	1	6	0.166666667	4	0	0	1	0.05	;
