<NUMBER OF ZONES> 24												
<NUMBER OF NODES> 24												
<FIRST THRU NODE> 1												
<NUMBER OF LINKS> 76												
<NUMBER OF NEW LINKS> 0												
<END OF METADATA>												
												
												
~ 	Init node 	Term node 	Capacity 	Length 	Free Flow Time 	B	Power	Speed limit 	Toll 	Type	Cost	;
	1	2	25900.20064	6	6	0.15	4	0	0	1	5.344189196	;
	1	3	23403.47319	4	4	0.15	4	0	0	1	0	;
	2	1	25900.20064	6	6	0.15	4	0	0	1	2.008207898	;
	2	6	4958.180928	5	5	0.15	4	0	0	1	9.574334618	;
	3	1	23403.47319	4	4	0.15	4	0	0	1	7.243177762	;
	3	4	17110.52372	4	4	0.15	4	0	0	1	9.189695135	;
	3	12	23403.47319	4	4	0.15	4	0	0	1	0	;
	4	3	17110.52372	4	4	0.15	4	0	0	1	4.066560405	;
	4	5	17782.7941	2	2	0.15	4	0	0	1	1.294826384	;
	4	11	4908.82673	6	6	0.15	4	0	0	1	5.463656298	;
	5	4	17782.7941	2	2	0.15	4	0	0	1	2.960133426	;
	5	6	4947.995469	4	4	0.15	4	0	0	1	5.569659595	;
	5	9	10000	5	5	0.15	4	0	0	1	3.079662504	;
	6	2	4958.180928	5	5	0.15	4	0	0	1	3.976006465	;
	6	5	4947.995469	4	4	0.15	4	0	0	1	9.90779913	;
	6	8	4898.587646	2	2	0.15	4	0	0	1	7.624341274	;
	7	8	7841.81131	3	3	0.15	4	0	0	1	3.810835776	;
	7	18	23403.47319	2	2	0.15	4	0	0	1	0.596929102	;
	8	6	4898.587646	2	2	0.15	4	0	0	1	4.293246556	;
	8	7	7841.81131	3	3	0.15	4	0	0	1	0.526823732	;
	8	9	5050.193156	10	10	0.15	4	0	0	1	2.50792685	;
	8	16	5045.822583	5	5	0.15	4	0	0	1	6.2172305	;
	9	5	10000	5	5	0.15	4	0	0	1	4.57808825	;
	9	8	5050.193156	10	10	0.15	4	0	0	1	1.556682156	;
	9	10	13915.78842	3	3	0.15	4	0	0	1	2.722757735	;
	10	9	13915.78842	3	3	0.15	4	0	0	1	3.780285202	;
	10	11	10000	5	5	0.15	4	0	0	1	4.863323842	;
	10	15	13512.00155	6	6	0.15	4	0	0	1	2.881721587	;
	10	16	4854.917717	4	4	0.15	4	0	0	1	4.088898711	;
	10	17	4993.510694	8	8	0.15	4	0	0	1	5.378229376	;
	11	4	4908.82673	6	6	0.15	4	0	0	1	0.21752706	;
	11	10	10000	5	5	0.15	4	0	0	1	0.288826956	;
	11	12	4908.82673	6	6	0.15	4	0	0	1	5.590680223	;
	11	14	4876.508287	4	4	0.15	4	0	0	1	0.855250504	;
	12	3	23403.47319	4	4	0.15	4	0	0	1	7.057469059	;
	12	11	4908.82673	6	6	0.15	4	0	0	1	8.19765991	;
	12	13	25900.20064	3	3	0.15	4	0	0	1	4.585060293	;
	13	12	25900.20064	3	3	0.15	4	0	0	1	1.991055481	;
	13	24	5091.256152	4	4	0.15	4	0	0	1	4.696628118	;
	14	11	4876.508287	4	4	0.15	4	0	0	1	7.442303111	;
	14	15	5127.526119	5	5	0.15	4	0	0	1	6.894695373	;
	14	23	4924.790605	4	4	0.15	4	0	0	1	1.931524466	;
	15	10	13512.00155	6	6	0.15	4	0	0	1	8.724214858	;
	15	14	5127.526119	5	5	0.15	4	0	0	1	6.275789012	;
	15	19	14564.75315	3	3	0.15	4	0	0	1	9.205681959	;
	15	22	9599.180565	3	3	0.15	4	0	0	1	3.212738018	;
	16	8	5045.822583	5	5	0.15	4	0	0	1	7.982274654	;
	16	10	4854.917717	4	4	0.15	4	0	0	1	8.162214687	;
	16	17	5229.910063	2	2	0.15	4	0	0	1	7.924327215	;
	16	18	19679.89671	3	3	0.15	4	0	0	1	0.774058926	;
	17	10	4993.510694	8	8	0.15	4	0	0	1	5.985338284	;
	17	16	5229.910063	2	2	0.15	4	0	0	1	9.148233169	;
	17	19	4823.950831	2	2	0.15	4	0	0	1	6.702823887	;
	18	7	23403.47319	2	2	0.15	4	0	0	1	2.23752271	;
	18	16	19679.89671	3	3	0.15	4	0	0	1	3.674536177	;
	18	20	23403.47319	4	4	0.15	4	0	0	1	9.251471841	;
	19	15	14564.75315	3	3	0.15	4	0	0	1	4.224777914	;
	19	17	4823.950831	2	2	0.15	4	0	0	1	8.967942796	;
	19	20	5002.607563	4	4	0.15	4	0	0	1	5.812731801	;
	20	18	23403.47319	4	4	0.15	4	0	0	1	7.496607544	;
	20	19	5002.607563	4	4	0.15	4	0	0	1	0.372603531	;
	20	21	5059.91234	6	6	0.15	4	0	0	1	1.019191619	;
	20	22	5075.697193	5	5	0.15	4	0	0	1	4.540321112	;
	21	20	5059.91234	6	6	0.15	4	0	0	1	5.075418861	;
	21	22	5229.910063	2	2	0.15	4	0	0	1	7.473726051	;
	21	24	4885.357564	3	3	0.15	4	0	0	1	8.65759796	;
