<NUMBER OF ZONES> 24												
<NUMBER OF NODES> 24												
<FIRST THRU NODE> 1												
<NUMBER OF LINKS> 76												
<ORIGINAL HEADER>~ 	Init node 	Term node 	Capacity 	Length 	Free Flow Time 	B	Power	Speed limit 	Toll 	Type		;
<END OF METADATA>												
												
												
~	init_node	term_node	capacity	length	free_flow_time	b	power	speed	toll	link_type	cost	;
	1	2	25900.20064	6	6	0.15	4	0	0	1	0	;
	1	3	23403.47319	4	4	0.15	4	0	0	1	0.045289934	;
	2	1	25900.20064	6	6	0.15	4	0	0	1	0	;
	2	6	4958.180928	5	5	0.15	4	0	0	1	0	;
	3	1	23403.47319	4	4	0.15	4	0	0	1	0	;
	3	4	17110.52372	4	4	0.15	4	0	0	1	0	;
	3	12	23403.47319	4	4	0.15	4	0	0	1	0	;
	4	3	17110.52372	4	4	0.15	4	0	0	1	0.26407971	;
	4	5	17782.7941	2	2	0.15	4	0	0	1	0.485317049	;
	4	11	4908.82673	6	6	0.15	4	0	0	1	0.3727114	;
	5	4	17782.7941	2	2	0.15	4	0	0	1	0	;
	5	6	4947.995469	4	4	0.15	4	0	0	1	0.293406899	;
	5	9	10000	5	5	0.15	4	0	0	1	0.151749799	;
	6	2	4958.180928	5	5	0.15	4	0	0	1	0	;
	6	5	4947.995469	4	4	0.15	4	0	0	1	0	;
	6	8	4898.587646	2	2	0.15	4	0	0	1	0	;
	7	8	7841.81131	3	3	0.15	4	0	0	1	0	;
	7	18	23403.47319	2	2	0.15	4	0	0	1	0	;
	8	6	4898.587646	2	2	0.15	4	0	0	1	0	;
	8	7	7841.81131	3	3	0.15	4	0	0	1	0.229688732	;
	8	9	5050.193156	10	10	0.15	4	0	0	1	0	;
	8	16	5045.822583	5	5	0.15	4	0	0	1	0.002879061	;
	9	5	10000	5	5	0.15	4	0	0	1	0	;
	9	8	5050.193156	10	10	0.15	4	0	0	1	0.176272289	;
	9	10	13915.78842	3	3	0.15	4	0	0	1	0.309559233	;
	10	9	13915.78842	3	3	0.15	4	0	0	1	0	;
	10	11	10000	5	5	0.15	4	0	0	1	0.40440192	;
	10	15	13512.00155	6	6	0.15	4	0	0	1	0.470903588	;
	10	16	4854.917717	4	4	0.15	4	0	0	1	0	;
	10	17	4993.510694	8	8	0.15	4	0	0	1	0	;
	11	4	4908.82673	6	6	0.15	4	0	0	1	0	;
	11	10	10000	5	5	0.15	4	0	0	1	0	;
	11	12	4908.82673	6	6	0.15	4	0	0	1	0.454017111	;
	11	14	4876.508287	4	4	0.15	4	0	0	1	0.493397088	;
	12	3	23403.47319	4	4	0.15	4	0	0	1	0	;
	12	11	4908.82673	6	6	0.15	4	0	0	1	0	;
	12	13	25900.20064	3	3	0.15	4	0	0	1	0.446117684	;
	13	12	25900.20064	3	3	0.15	4	0	0	1	0.259981172	;
	13	24	5091.256152	4	4	0.15	4	0	0	1	0.393468951	;
	14	11	4876.508287	4	4	0.15	4	0	0	1	0	;
	14	15	5127.526119	5	5	0.15	4	0	0	1	0.465463517	;
	14	23	4924.790605	4	4	0.15	4	0	0	1	0.070659525	;
	15	10	13512.00155	6	6	0.15	4	0	0	1	0	;
	15	14	5127.526119	5	5	0.15	4	0	0	1	0	;
	15	19	14564.75315	3	3	0.15	4	0	0	1	0	;
	15	22	9599.180565	3	3	0.15	4	0	0	1	0	;
	16	8	5045.822583	5	5	0.15	4	0	0	1	0	;
	16	10	4854.917717	4	4	0.15	4	0	0	1	0.409887506	;
	16	17	5229.910063	2	2	0.15	4	0	0	1	0	;
	16	18	19679.89671	3	3	0.15	4	0	0	1	0	;
	17	10	4993.510694	8	8	0.15	4	0	0	1	0	;
	17	16	5229.910063	2	2	0.15	4	0	0	1	0	;
	17	19	4823.950831	2	2	0.15	4	0	0	1	0.383201241	;
	18	7	23403.47319	2	2	0.15	4	0	0	1	0	;
	18	16	19679.89671	3	3	0.15	4	0	0	1	0.211206693	;
	18	20	23403.47319	4	4	0.15	4	0	0	1	0.084989024	;
	19	15	14564.75315	3	3	0.15	4	0	0	1	0	;
	19	17	4823.950831	2	2	0.15	4	0	0	1	0	;
	19	20	5002.607563	4	4	0.15	4	0	0	1	0.472142394	;
	20	18	23403.47319	4	4	0.15	4	0	0	1	0.28743706	;
	20	19	5002.607563	4	4	0.15	4	0	0	1	0	;
	20	21	5059.91234	6	6	0.15	4	0	0	1	0	;
	20	22	5075.697193	5	5	0.15	4	0	0	1	0	;
	21	20	5059.91234	6	6	0.15	4	0	0	1	0	;
	21	22	5229.910063	2	2	0.15	4	0	0	1	0	;
	21	24	4885.357564	3	3	0.15	4	0	0	1	0	;
	22	15	9599.180565	3	3	0.15	4	0	0	1	0	;
	22	20	5075.697193	5	5	0.15	4	0	0	1	0.351322676	;
	22	21	5229.910063	2	2	0.15	4	0	0	1	0.226364902	;
	22	23	5000	4	4	0.15	4	0	0	1	0.036004711	;
	23	14	4924.790605	4	4	0.15	4	0	0	1	0.386564917	;
	23	22	5000	4	4	0.15	4	0	0	1	0	;
	23	24	5078.508436	2	2	0.15	4	0	0	1	0	;
	24	13	5091.256152	4	4	0.15	4	0	0	1	0	;
	24	21	4885.357564	3	3	0.15	4	0	0	1	0	;
	24	23	5078.508436	2	2	0.15	4	0	0	1	0.15600727	;
